ANO,MES,Total,Weighted_average
2015,6,3892446,317.3297664409511
2020,2,3006099,377.6291177973831
2002,1,1312446,245.79281505814433
2020,10,2106124,425.5515581922084
2018,12,2498232,444.03322295377666
2022,6,2319374,624.269294881004
2009,2,1002724,337.8409151870231
2009,4,1286594,319.7155997627789
2018,11,3589678,411.21285421812314
2010,4,1525852,256.1298230443136
2003,8,1214341,361.0927734221481
2012,3,4913493,260.5666863336511
2007,2,1355646,254.71298711393035
2011,10,4074656,302.33163200287976
2012,5,4780002,252.96841620361545
2004,1,1026688,366.0496328623947
2013,1,3832488,325.55642263985925
2002,10,1099671,318.8403097320307
2006,2,1199472,440.9818442429122
2018,6,3549779,300.5349197123847
2013,8,4362957,333.3872111284632
2016,8,3311879,342.41563093608113
2017,2,2957363,321.66564407418247
2007,12,1310026,339.86653490118346
2017,11,3574510,387.9183621498635
2015,1,4706746,313.476895897789
2017,5,3384135,313.91125722056614
2004,3,1274445,347.7372945922919
2006,8,1570532,438.1550775279983
2007,7,1161597,336.5518051495474
2011,1,3914722,259.9415261905528
2022,9,2124662,698.1783752392445
2003,6,1076075,354.8236948252567
2005,2,1025004,448.44086521561417
2015,5,4244397,291.67558923710305
2019,7,3247320,420.7065111699951
2006,5,1162300,320.7739652036076
2018,2,2709722,354.02666290666764
2019,11,3986521,393.19410719321064
2020,5,461570,319.0464696001701
2008,2,755770,369.813841433405
2007,3,1804102,237.67566299946157
2010,1,1077470,302.6010249162511
2012,6,4591935,262.8318385821327
2006,11,1472300,283.2917272680275
2017,6,3379755,325.6616271959507
2005,4,1128479,372.7555267775769
2022,4,2022845,659.2024952186636
2021,4,1360092,326.76952728448936
2017,1,3301463,342.00331884797123
2011,9,4221642,285.95954318919456
2022,12,1826543,650.8179248121654
2004,5,1377461,329.6564245477777
2014,7,4933521,315.85650418314736
2018,4,3434089,324.59793758080383
2022,8,2080709,687.8207088074744
2016,3,3828383,319.5330843992161
2005,9,1163289,348.2278959146338
2009,8,1684868,314.72269850488294
